question,slug,category,subcategory,experienceLevel,difficulty,interviewType,shortDescription,explanation,sampleAnswer,keyPoints,commonMistakes,followUpQuestions,tags,seoTitle,seoDescription,isPublished
"How would you design a maintainable software service?",software-developer-maintainable-service,Software Developer,Software Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Explain your approach to reliable and maintainable service design.","This tests architecture judgment, communication, and awareness of operational trade-offs.","I would clarify requirements, separate responsibilities, define interfaces, add tests, and make observability part of the design. I would choose the simplest architecture that meets the expected scale and document the trade-offs.","Clarify requirements|Separate responsibilities|Test important behavior|Plan observability","Starting with tools instead of requirements|Ignoring operations|Overengineering early","How would you handle a sudden increase in traffic?|What would you monitor after release?","architecture|reliability|software",How to Design a Maintainable Software Service,"Learn a practical approach to explaining maintainable service design in an interview.",true
"How do you improve performance in an Android application?",android-developer-performance,Android Developer,Android Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Explain how you measure and improve Android performance.","Interviewers want a measured approach covering rendering, network, memory, and lifecycle behavior.","I would reproduce the issue, profile the slow path, and check rendering, network calls, memory pressure, and lifecycle work. I would make one focused change, measure again, and add a regression check.","Measure first|Use profiling tools|Consider lifecycle behavior|Verify the improvement","Guessing without profiling|Optimizing only startup|Ignoring low-end devices","How would you test on slow hardware?|Which metric would you track?","android|performance|mobile",How to Discuss Android Performance Improvements,"Prepare a measured answer about diagnosing and improving Android performance.",true
"What makes a Java application easy to maintain?",java-developer-maintainable,Java Developer,Java Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Discuss design and team practices that support maintainability.","The question explores whether you connect code structure with testing and communication.","I favor focused classes, clear boundaries, consistent conventions, useful automated tests, and dependencies that are easy to replace. I also value documentation for decisions that are not obvious from the code.","Clear boundaries|Focused classes|Useful tests|Document important decisions","Listing patterns without context|Ignoring tests|Adding abstraction everywhere","How do you identify a useful abstraction?|How do you handle technical debt?","java|maintainability|design",How to Explain Java Maintainability,"Build a clear interview answer about maintainable Java applications.",true
"When would you use a sealed class in Kotlin?",kotlin-sealed-class,kotlin Developer,Kotlin Developer,FRESHER,EASY,TECHNICAL,"Explain when a closed type hierarchy communicates intent.","This tests Kotlin fundamentals and whether you can choose a language feature for a real modeling need.","I would use a sealed class when the set of meaningful states is known and should be handled exhaustively, such as loading, success, and failure results. It makes the allowed cases visible and helps the compiler check when expressions.","Closed hierarchy|Exhaustive when expression|Model meaningful states|Use a practical example","Using it for every data class|Confusing it with an enum|Failing to explain the trade-off","When would an enum be simpler?|How would you test each state?","kotlin|language|types",When to Use Kotlin Sealed Classes,"Learn how to explain sealed classes with a practical Kotlin example.",true
"How do you investigate a slow Python function?",python-slow-function,Python Developer,Python Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Describe a measured debugging process for slow Python code.","Interviewers assess whether you profile before changing code and understand algorithmic and I/O costs.","I would profile the function with representative data, inspect algorithmic complexity and I/O, then test the highest-impact hypothesis. After changing it, I would benchmark before and after and keep a regression test.","Profile first|Use representative data|Check complexity and I/O|Benchmark changes","Premature optimization|Testing tiny data only|Changing several things at once","How would you investigate memory use?|What belongs in a regression benchmark?","python|debugging|performance",How to Investigate a Slow Python Function,"Use a practical measurement-first process for Python performance questions.",true
"How do you prevent stale data in an asynchronous JavaScript feature?",javascript-prevent-stale-data,JavaScript Developer,JavaScript Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Explain how to handle out-of-order asynchronous responses.","This tests understanding of races, cancellation, and state ownership in browser applications.","I would associate each response with the request that created it and ignore results that are no longer current. Where supported, I would cancel obsolete requests and test responses arriving out of order.","Track request identity|Cancel obsolete work|Keep state ownership clear|Test race conditions","Assuming responses finish in order|Updating state after unmount|Hiding the race in a global flag","How would you handle retries?|When is cancellation unavailable?","javascript|async|browser",How to Prevent Stale JavaScript Data,"Explain a reliable approach to asynchronous JavaScript race conditions.",true
"How do you decide where state belongs in a React application?",react-state-ownership,React Developer,React Developer,MID_LEVEL,MEDIUM,TECHNICAL,"Compare local, shared, and server state decisions.","This reveals whether you can keep state close to its owner and avoid unnecessary global coupling.","I keep state near the component that owns the behavior, lift it to a common parent when siblings need it, and treat server data separately from local UI state. I derive values instead of storing duplicates.","Keep state local|Separate server state|Avoid duplicate derived state|Explain ownership","Putting everything in global state|Duplicating server data|Choosing a library first","How would this change in a large app?|How would you test the state transitions?","react|state|frontend",How to Decide Where State Lives in React,"A practical framework for choosing state ownership in React.",true
"What makes a web form accessible?",web-developer-accessible-form,Web Developer,Web Developer,FRESHER,EASY,TECHNICAL,"Describe the structure and behavior of an accessible form.","This checks semantic HTML, keyboard support, labels, validation, and error communication.","I use real labels and semantic controls, ensure keyboard navigation and visible focus, associate errors with fields, and validate on the server as well as the client. I test with a keyboard and assistive technology where possible.","Use labels|Support keyboard flow|Connect errors to fields|Validate server-side","Using placeholders as labels|Color-only errors|Unclear focus behavior","How would you test a form without a mouse?|How do you announce dynamic errors?","web|accessibility|forms",How to Explain an Accessible Web Form,"Prepare a complete answer about accessible and resilient web forms.",true
"How would you fix a slow SQL query?",sql-slow-query,SQL,SQL,EXPERIENCED,HARD,TECHNICAL,"Walk through evidence-based SQL performance troubleshooting.","The answer should show that you inspect plans and measure changes instead of guessing.","I would inspect the execution plan, check filters and joins, review indexes and data distribution, and look for unnecessary sorting or repeated application queries. I would measure the same workload after each focused change.","Inspect execution plan|Review indexes|Check data distribution|Measure after changes","Adding indexes blindly|Ignoring application behavior|Testing with unrealistic data","What cost can an index introduce?|How would you monitor the fix?","sql|databases|optimization",How to Fix a Slow SQL Query,"A measured approach to diagnosing and improving SQL query performance.",true
"How do you build a useful regression test suite?",qa-regression-suite,QA Tester,QA Tester,MID_LEVEL,MEDIUM,TECHNICAL,"Explain how you prioritize regression coverage.","This tests risk assessment, test maintenance, and feedback speed.","I prioritize critical user journeys, integration boundaries, escaped defects, and areas with high change or business risk. I remove brittle duplication and make ownership clear.","Prioritize critical journeys|Cover boundaries|Learn from escaped defects|Keep tests maintainable","Measuring only test count|Keeping brittle tests|Ignoring production failures","How do you decide what not to automate?|How do you handle flaky tests?","qa|testing|quality",How to Build a Useful QA Regression Suite,"Explain how to balance risk, coverage, maintenance, and feedback speed.",true
