questionId,currentQuestion,slug,category,subcategory,detectedIssue,severity,recommendedAction,rewriteSuggestion,priorityReason
"cmtliqu9z0baxff54mkmimmrm","What common mistakes have you seen with labeling-guidelines?","what-common-mistakes-have-you-seen-with-labeling-guidelines","Machine Learning","Machine Learning","slug-like placeholder topic","HIGH","REWRITE","What common mistakes have you seen with labeling guidelines?","Homepage displayed question"
"cmtlique70bazff54aeuy2o7t","How would you evaluate whether labeling-guidelines is working well? when requirements are unclear","how-would-you-evaluate-whether-labeling-guidelines-is-working-well-when-requirements-are-unclear","Machine Learning","Machine Learning","slug-like placeholder topic","HIGH","REWRITE","How would you evaluate whether labeling guidelines is working well? when requirements are unclear","Homepage displayed question"
"cmtliquj10bb1ff54ffq3wjoq","What's your approach to handling labeling-guidelines?","what-s-your-approach-to-handling-labeling-guidelines","Machine Learning","Machine Learning","slug-like placeholder topic","HIGH","REWRITE","What's your approach to handling labeling guidelines?","Homepage displayed question"
"cmtliquna0bb3ff54591wsn6r","How would you design a solution for labeling-guidelines?","how-would-you-design-a-solution-for-labeling-guidelines","Machine Learning","Machine Learning","slug-like placeholder topic","HIGH","REWRITE","How would you design a solution for labeling guidelines?","Homepage displayed question"
"cmtliqurh0bb5ff54jqsvbiol","Talk me through how you'd handle labeling-guidelines. with a focus on accessibility","talk-me-through-how-you-d-handle-labeling-guidelines-with-a-focus-on-accessibility","Machine Learning","Machine Learning","near duplicate (QCA-00375); slug-like placeholder topic","HIGH","MERGE","","Homepage displayed question"
"cmtliquvn0bb7ff54rfu1ntw5","What would you prioritize when labeling-guidelines?","what-would-you-prioritize-when-labeling-guidelines","Machine Learning","Machine Learning","repeated question template; slug-like placeholder topic","HIGH","REWRITE","What would you prioritize when working on labeling guidelines?","Homepage displayed question"
"cmtlipo7o0arfff54xb1e60qe","How would you design a solution for design-documents? with a focus on accessibility","how-would-you-design-a-solution-for-design-documents-with-a-focus-on-accessibility","Software Engineer","Software Engineer","exact duplicate (QCA-00796); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlipb340al7ff54bent9zur","How would you design a solution for design-system-spacing?","how-would-you-design-a-solution-for-design-system-spacing","HTML & CSS","HTML & CSS","exact duplicate (QCA-00797); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlimoda09ctff54q89p1ya3","Walk me through your strategy for chunking-strategy.","walk-me-through-your-strategy-for-chunking-strategy","Generative AI","Generative AI","exact duplicate (QCA-01670); slug-like placeholder topic","HIGH","MERGE","",""
"cmtli2wcv06gnff54hhadb823","What's your approach to handling feedback-handling? while mentoring a junior teammate","what-s-your-approach-to-handling-feedback-handling-while-mentoring-a-junior-teammate","Internship","Internship","exact duplicate (QCA-00834); slug-like placeholder topic","HIGH","MERGE","",""
"cmtli0ofm05hvff54hgkh86e1","What's your approach to handling discrepancy-handling? after measuring an unexpected result","what-s-your-approach-to-handling-discrepancy-handling-after-measuring-an-unexpected-result","Accountant","Accountant","exact duplicate (QCA-00836); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlhzcw204x7ff54syv86rh8","What's your approach to handling pushback-handling?","what-s-your-approach-to-handling-pushback-handling","Human Resources","Human Resources","exact duplicate (QCA-00837); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlhx9fz03xvff54y1ikzn22","What's your approach to handling objection-handling? while mentoring a junior teammate","what-s-your-approach-to-handling-objection-handling-while-mentoring-a-junior-teammate","Sales","Sales","exact duplicate (QCA-00838); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlht9zg025jff5479xjjw21","How would you design a solution for design-system-api?","how-would-you-design-a-solution-for-design-system-api","JavaScript Developer","JavaScript Developer","exact duplicate (QCA-00799); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlhsyvx021hff54dyuwkokl","What's your approach to handling error-handling?","what-s-your-approach-to-handling-error-handling","JavaScript Developer","JavaScript Developer","exact duplicate (QCA-00839); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlhqafq012hff54ni31mczj","What's your approach to handling exception-handling? under a tight deadline","what-s-your-approach-to-handling-exception-handling-under-a-tight-deadline","Java Developer","Java Developer","exact duplicate (QCA-00840); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlhos9b00ipff54kjo9zzs6","How would you design a solution for api-design? when scalability is a critical concern","how-would-you-design-a-solution-for-api-design-when-scalability-is-a-critical-concern","Software Developer","Software Developer","exact duplicate (QCA-00803); slug-like placeholder topic","HIGH","MERGE","",""
"cmtlho7zd00bdff54502e9gmg","How would you design a solution for design-patterns?","how-would-you-design-a-solution-for-design-patterns","Software Developer","Software Developer","exact duplicate (QCA-00806); slug-like placeholder topic","HIGH","MERGE","",""
"cmtliqu5r0bavff54c9hxbwdf","How would you explain labeling-guidelines to a teammate who's new to it?","how-would-you-explain-labeling-guidelines-to-a-teammate-who-s-new-to-it","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain labeling guidelines to a teammate who's new to it?",""
"cmtliqu1l0batff54i9s8y70n","What's your process for labeling-guidelines in a production system?","what-s-your-process-for-labeling-guidelines-in-a-production-system","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for labeling guidelines in a production system?",""
"cmtliqtxf0barff5484um3lhj","How do you decide when labeling-guidelines is the right call?","how-do-you-decide-when-labeling-guidelines-is-the-right-call","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when labeling guidelines is the right call?",""
"cmtliqtt90bapff5400m1pzmr","What trade-offs matter most when dealing with labeling-guidelines? when requirements are unclear","what-trade-offs-matter-most-when-dealing-with-labeling-guidelines-when-requirements-are-unclear","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with labeling guidelines? when requirements are unclear",""
"cmtliqtop0banff54jhknb6jf","Walk me through your strategy for labeling-guidelines.","walk-me-through-your-strategy-for-labeling-guidelines","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for labeling guidelines.",""
"cmtliqtkm0balff549v9srm4w","How would you approach labeling-guidelines?","how-would-you-approach-labeling-guidelines","Machine Learning","Machine Learning","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle labeling guidelines in a real project?",""
"cmtliqtga0bajff54e1k08mwk","What would you prioritize when out-of-distribution-inference?","what-would-you-prioritize-when-out-of-distribution-inference","Machine Learning","Machine Learning","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when working on out of distribution inference?",""
"cmtliqtc70bahff54bsyi5vwn","Talk me through how you'd handle out-of-distribution-inference.","talk-me-through-how-you-d-handle-out-of-distribution-inference","Machine Learning","Machine Learning","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle out of distribution inference. in a real situation?",""
"cmtliqt800bafff54lq4peudb","How would you design a solution for out-of-distribution-inference? when explaining your decision to a non-specialist","how-would-you-design-a-solution-for-out-of-distribution-inference-when-explaining-your-decision-to-a-non-specialist","Machine Learning","Machine Learning","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for out of distribution inference? when explaining your decision to a non specialist",""
